id,title,description,category,priority,status,requester_type,channel,created_at,updated_at,assigned_to,resolution_code,tags
REQ-000001,"Cannot access billing dashboard","When I click on the Billing tab in the navigation menu, I get a 403 Forbidden error. I'm logged in as an admin user and should have access to this section. This started happening this morning after the system upgrade.",billing,P1,in_progress,enterprise,web_form,2026-02-04T08:15:00Z,2026-02-04T09:30:00Z,agent-003,,"billing,dashboard,permissions,access-error"
REQ-000002,"Unable to login to account","I've been trying to log in for the past hour but keep getting 'Invalid credentials' even though I'm certain my password is correct. I've tried resetting my password but didn't receive the reset email.",technical,P1,resolved,paid,email,2026-02-03T14:22:00Z,2026-02-03T16:45:00Z,agent-001,solved,"login,authentication,password-reset"
REQ-000003,"Request documentation for API v2 endpoints","I'm integrating with your API and noticed that the v2 documentation is incomplete. Specifically, I need information about the webhook event schemas and rate limiting policies.",general,P3,triaged,paid,web_form,2026-02-03T10:05:00Z,2026-02-03T11:20:00Z,agent-005,,"documentation,api,webhooks"
REQ-000004,"Payment failed - card declined","My monthly subscription payment failed this morning. The error message says 'Card declined' but I just used this card successfully elsewhere. Please help me update my payment method.",billing,P1,closed,paid,chat,2026-02-02T09:30:00Z,2026-02-02T10:15:00Z,agent-003,solved,"payment,billing,card-declined"
REQ-000005,"System completely down - production outage","Our entire production system has been offline for the past 15 minutes. All users are getting 500 errors. This is affecting our business operations significantly. URGENT!",technical,P0,closed,enterprise,phone,2026-02-01T15:00:00Z,2026-02-01T17:30:00Z,agent-001,solved,"outage,production,critical,downtime"
REQ-000006,"Update email address on account","I need to change my email address from my old company email to my personal email. Current: old@company.com, New: personal@gmail.com",account,P2,in_progress,paid,email,2026-02-04T07:45:00Z,2026-02-04T08:10:00Z,agent-004,,"account,email-change"
REQ-000007,"Slow performance when loading reports","The analytics dashboard is taking 30+ seconds to load. This only started yesterday. Other pages load fine. I'm using Chrome on macOS.",technical,P2,waiting,enterprise,web_form,2026-02-03T16:00:00Z,2026-02-04T09:00:00Z,agent-002,,"performance,slow-loading,analytics,dashboard"
REQ-000008,"Invoice missing for last month","I haven't received my invoice for January 2026. Can you please resend it to my email? I need it for accounting purposes.",billing,P3,triaged,paid,email,2026-02-04T06:30:00Z,2026-02-04T07:00:00Z,agent-003,,"invoice,billing,resend"
REQ-000009,"How to export data to CSV","I'm trying to export my data to CSV format but can't find the export button. Can you provide step-by-step instructions?",general,P3,resolved,free,chat,2026-02-03T13:15:00Z,2026-02-03T13:45:00Z,agent-005,solved,"how-to,export,csv"
REQ-000010,"API rate limit errors","Getting 429 Too Many Requests errors when calling the /api/v1/data endpoint. We're well within our documented rate limits. Error started around 2pm UTC.",technical,P1,in_progress,enterprise,api,2026-02-04T14:05:00Z,2026-02-04T14:30:00Z,agent-002,,"api,rate-limit,429-error"
REQ-000011,"Feature request: Dark mode support","Would love to see a dark mode option in the UI. Working late nights and the bright interface is hard on the eyes.",general,P3,new,paid,web_form,2026-02-04T22:00:00Z,2026-02-04T22:00:00Z,,,"feature-request,dark-mode,ui"
REQ-000012,"Cannot add team members","When I try to invite new team members through the Team Settings page, I get an error 'Maximum team size reached'. We're only at 8/10 members according to our plan.",account,P2,triaged,enterprise,email,2026-02-04T11:20:00Z,2026-02-04T12:00:00Z,agent-004,,"team-management,invites,error"
REQ-000013,"Duplicate charge on credit card","I was charged twice for this month's subscription ($99 x 2). Please refund the duplicate charge immediately.",billing,P1,resolved,paid,phone,2026-02-03T08:00:00Z,2026-02-03T10:30:00Z,agent-003,solved,"refund,duplicate-charge,billing"
REQ-000014,"Two-factor authentication not working","I enabled 2FA yesterday but now I can't login. The authenticator app code is being rejected. I don't have backup codes.",technical,P1,in_progress,paid,chat,2026-02-04T09:00:00Z,2026-02-04T09:45:00Z,agent-001,,"2fa,authentication,login"
REQ-000015,"Question about enterprise pricing","We're a team of 50 looking to upgrade from Business to Enterprise. What are the pricing options and what additional features do we get?",general,P2,new,paid,web_form,2026-02-04T21:30:00Z,2026-02-04T21:30:00Z,,,"sales,pricing,enterprise,upgrade"
REQ-000016,"Data export failed - timeout error","Trying to export 6 months of data but the export times out after 5 minutes. Can you help me get this data?",technical,P2,triaged,enterprise,email,2026-02-04T10:00:00Z,2026-02-04T11:00:00Z,agent-002,,"export,timeout,data"
REQ-000017,"Mobile app crashing on iOS","The mobile app crashes immediately on launch after the latest update (v3.2.1). iPhone 14 Pro, iOS 17.2.",technical,P1,in_progress,paid,email,2026-02-04T07:00:00Z,2026-02-04T08:00:00Z,agent-006,,"mobile,ios,crash,bug"
REQ-000018,"Need to downgrade subscription","I want to downgrade from Pro to Basic plan. How do I do this without losing my data?",account,P3,closed,paid,web_form,2026-02-02T14:00:00Z,2026-02-02T15:30:00Z,agent-004,solved,"downgrade,subscription,plan-change"
REQ-000019,"Incorrect data in analytics report","The user activity report shows 500 active users but we only have 300 total users in our account. The numbers don't add up.",technical,P2,waiting,enterprise,chat,2026-02-03T11:00:00Z,2026-02-04T10:00:00Z,agent-002,,"analytics,data-accuracy,reporting"
REQ-000020,"Password reset email not received","Clicked 'Forgot Password' 30 minutes ago but haven't received the reset email. Checked spam folder - nothing there.",technical,P2,resolved,free,email,2026-02-04T12:00:00Z,2026-02-04T12:30:00Z,agent-001,solved,"password-reset,email,delivery-issue"
REQ-000021,"Integration with Salesforce not syncing","Set up Salesforce integration last week but contacts aren't syncing. Last successful sync was 3 days ago. No error messages shown.",technical,P1,in_progress,enterprise,web_form,2026-02-04T08:30:00Z,2026-02-04T09:15:00Z,agent-006,,"integration,salesforce,sync-issue"
REQ-000022,"Billing cycle change request","Currently billed monthly but would like to switch to annual billing to get the discount. When can this take effect?",billing,P3,triaged,paid,email,2026-02-04T15:00:00Z,2026-02-04T16:00:00Z,agent-003,,"billing-cycle,annual,discount"
REQ-000023,"Custom domain SSL certificate expired","Our custom domain (dashboard.company.com) is showing SSL certificate error. Browser says certificate expired yesterday.",technical,P0,resolved,enterprise,phone,2026-02-03T07:00:00Z,2026-02-03T08:30:00Z,agent-002,solved,"ssl,custom-domain,certificate,critical"
REQ-000024,"Delete my account and data","I no longer need this service and would like to completely delete my account and all associated data per GDPR requirements.",account,P2,in_progress,free,email,2026-02-04T13:00:00Z,2026-02-04T14:00:00Z,agent-004,,"account-deletion,gdpr,data-privacy"
REQ-000025,"Webhook events not being received","Configured webhook endpoint 2 days ago but not receiving any events. Endpoint is accessible and returns 200 when tested manually.",technical,P2,waiting,paid,api,2026-02-03T09:00:00Z,2026-02-04T10:00:00Z,agent-002,,"webhooks,integration,events"
REQ-000026,"Upgrade to enterprise plan","Need to upgrade our team from Business to Enterprise. Currently have 25 users. What's the process and pricing?",account,P2,new,paid,chat,2026-02-04T20:00:00Z,2026-02-04T20:00:00Z,,,"upgrade,enterprise,sales"
REQ-000027,"Incorrect timezone in reports","All timestamps in exported reports are showing UTC time instead of my configured timezone (EST). This makes data analysis difficult.",technical,P3,triaged,paid,web_form,2026-02-04T17:00:00Z,2026-02-04T18:00:00Z,agent-005,,"timezone,reports,export"
REQ-000028,"Cannot upload files larger than 10MB","Trying to upload a 15MB CSV file but getting error 'File too large'. Documentation says limit is 50MB. Using Chrome browser.",technical,P2,resolved,enterprise,email,2026-02-03T14:00:00Z,2026-02-03T16:00:00Z,agent-006,workaround,"file-upload,size-limit,error"
REQ-000029,"Request access to beta features","Saw announcement about new analytics beta. How can I get access? We're an enterprise customer.",general,P3,closed,enterprise,web_form,2026-02-02T10:00:00Z,2026-02-02T11:00:00Z,agent-005,solved,"beta,feature-access,analytics"
REQ-000030,"SSO login not working","Single Sign-On via Okta stopped working this morning. Getting 'Authentication failed' error. Worked fine yesterday.",technical,P0,in_progress,enterprise,phone,2026-02-04T09:00:00Z,2026-02-04T09:30:00Z,agent-001,,"sso,okta,authentication,critical"
REQ-000031,"Refund request for unused subscription","Cancelled my subscription 2 weeks ago but was still charged for this month. Request refund for the unused portion.",billing,P2,triaged,paid,email,2026-02-04T14:00:00Z,2026-02-04T15:00:00Z,agent-003,,"refund,cancellation,billing"
REQ-000032,"How to set up automated workflows","Looking for documentation or tutorial on setting up automated workflows. Specifically need to auto-assign tasks based on tags.",general,P3,resolved,paid,chat,2026-02-04T11:00:00Z,2026-02-04T11:45:00Z,agent-005,solved,"automation,workflows,how-to"
REQ-000033,"User permissions not applying correctly","Set a user to 'Viewer' role but they can still edit data. Tried removing and re-adding but issue persists.",account,P1,in_progress,enterprise,web_form,2026-02-04T10:30:00Z,2026-02-04T11:15:00Z,agent-004,,"permissions,roles,access-control"
REQ-000034,"API documentation examples not working","Following the code examples in API docs for authentication but getting 401 errors. Using exactly the code shown in docs.",technical,P2,waiting,paid,email,2026-02-03T15:00:00Z,2026-02-04T09:00:00Z,agent-002,,"api,documentation,authentication"
REQ-000035,"Bulk import failed mid-process","Started bulk import of 10,000 records. Got to 5,230 records and then failed with error 'Connection timeout'. Can I resume from where it stopped?",technical,P2,triaged,enterprise,web_form,2026-02-04T16:00:00Z,2026-02-04T17:00:00Z,agent-006,,"bulk-import,data,error"
REQ-000036,"Request invoice with VAT number","Need invoices to include our VAT number (GB123456789) for tax purposes. How do I add this to my account?",billing,P3,resolved,paid,email,2026-02-04T08:00:00Z,2026-02-04T09:00:00Z,agent-003,solved,"invoice,vat,tax"
REQ-000037,"Dashboard widgets not loading","Three widgets on my dashboard are stuck on 'Loading...' for past 2 hours. Other dashboards load fine. Tried different browsers.",technical,P2,in_progress,paid,chat,2026-02-04T13:00:00Z,2026-02-04T14:00:00Z,agent-002,,"dashboard,widgets,loading-issue"
REQ-000038,"Need training for new team members","Onboarding 5 new team members next week. Do you offer training sessions or webinars? Looking for enterprise onboarding support.",general,P3,new,enterprise,email,2026-02-04T19:00:00Z,2026-02-04T19:00:00Z,,,"training,onboarding,enterprise"
REQ-000039,"Scheduled reports not being sent","Set up weekly report to send every Monday at 9am but haven't received any for the past 2 weeks. Email address is correct.",technical,P2,triaged,paid,web_form,2026-02-04T09:30:00Z,2026-02-04T10:30:00Z,agent-005,,"scheduled-reports,email,automation"
REQ-000040,"Data breach concern - unauthorized access","Noticed login from IP address in different country that I didn't authorize. Concerned about security breach. Please investigate urgently.",technical,P0,resolved,enterprise,phone,2026-02-03T18:00:00Z,2026-02-03T20:00:00Z,agent-001,solved,"security,unauthorized-access,critical,breach"
REQ-000041,"Feature request: Export to Google Sheets","Would be great to have direct export to Google Sheets instead of just CSV/Excel. This would streamline our workflow.",general,P3,closed,paid,web_form,2026-02-01T14:00:00Z,2026-02-01T15:00:00Z,agent-005,wont_fix,"feature-request,export,google-sheets"
REQ-000042,"Cannot remove user from team","Trying to remove user who left company but getting error 'Cannot remove owner'. User was never owner. I am the owner.",account,P2,in_progress,enterprise,email,2026-02-04T12:00:00Z,2026-02-04T13:00:00Z,agent-004,,"team-management,user-removal,error"
REQ-000043,"Graph visualization not rendering","The network graph on the Insights page shows as blank. Console shows error 'Cannot read property of undefined'. Firefox 122.",technical,P2,waiting,paid,chat,2026-02-03T12:00:00Z,2026-02-04T08:00:00Z,agent-006,,"visualization,graph,rendering,bug"
